species	common_name	body_mass_g	body_mass_notes	max_lifespan_yr	max_lifespan_notes	gestation_days	gestation_notes	litter_size	litter_size_notes	age_maturity_days	age_maturity_notes	metabolic_rate_W	metabolic_rate_notes	brain_mass_g	brain_mass_notes	sleep_hr_day	sleep_notes
Acinonyx_jubatus	cheetah	38446.1	AnAge build 14 (genomics.senescence.info); exact match: Acinonyx jubatus	20.5	AnAge build 14 (genomics.senescence.info); exact match: Acinonyx jubatus	88.0	AnAge build 14 (genomics.senescence.info); exact match: Acinonyx jubatus	3.0	AnAge build 14 (genomics.senescence.info); exact match: Acinonyx jubatus	456.0	AnAge build 14 (genomics.senescence.info); exact match: Acinonyx jubatus	61.77	AnAge build 14 (genomics.senescence.info); exact match: Acinonyx jubatus	113.0489	González-Suárez et al. 2021 [Lemaitre_et_al_2009_J_Evol_Biol; Tsubio_et_al_2018_NEE]	12.1	Savage & West 2007 PNAS (msleep, genus Acinonyx)
Acomys_cahirinus	Egyptian spiny mouse	42.0	AnAge build 14 (genomics.senescence.info); exact match: Acomys cahirinus	5.9	AnAge build 14 (genomics.senescence.info); exact match: Acomys cahirinus	38.0	AnAge build 14 (genomics.senescence.info); exact match: Acomys cahirinus	3.0	AnAge build 14 (genomics.senescence.info); exact match: Acomys cahirinus	58.0	AnAge build 14 (genomics.senescence.info); exact match: Acomys cahirinus	0.258	AnAge build 14 (genomics.senescence.info); exact match: Acomys cahirinus	0.705	González-Suárez et al. 2021 [Boddy_et_al_2012_J_Evol_Biol; Isler_&_vanSchaik_2009_Bio_Lett]		
Acomys_dimidiatus	Eastern spiny mouse	48.7	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	5.6	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	38.0	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	2.5	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	58.0	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	0.249	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	0.65	González-Suárez et al. 2021 (genus Acomys median)		
Acomys_kempi	Kemps spiny mouse	48.7	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	5.6	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	38.0	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	2.5	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	58.0	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	0.249	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	0.65	González-Suárez et al. 2021 (genus Acomys median)		
Acomys_minous	Crete spiny mouse	62.5	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Acomys minous			38.0	AnAge build 14 (genomics.senescence.info); exact match: Acomys minous			58.0	AnAge build 14 (genomics.senescence.info); exact match: Acomys minous			0.65	González-Suárez et al. 2021 (genus Acomys median)		
Acomys_percivali	Percivals spiny mouse	48.7	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	5.6	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	38.0	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	2.5	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	58.0	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	0.249	AnAge build 14; genus Acomys (n=5) median used (no species-level data)	0.65	González-Suárez et al. 2021 (genus Acomys median)		
Acomys_russatus	golden spiny mouse	55.4	AnAge build 14 (genomics.senescence.info); exact match: Acomys russatus			34.0	AnAge build 14 (genomics.senescence.info); exact match: Acomys russatus	2.5	AnAge build 14 (genomics.senescence.info); exact match: Acomys russatus	91.0	AnAge build 14 (genomics.senescence.info); exact match: Acomys russatus	0.24	AnAge build 14 (genomics.senescence.info); exact match: Acomys russatus	0.65	González-Suárez et al. 2021 (genus Acomys median)		
Addax_nasomaculatus	Addax	96077.36	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Addax nasomaculatus	28.0	AnAge build 14 (genomics.senescence.info); exact match: Addax nasomaculatus	282.0	AnAge build 14 (genomics.senescence.info); exact match: Addax nasomaculatus	1.0	AnAge build 14 (genomics.senescence.info); exact match: Addax nasomaculatus	1065.0	AnAge build 14 (genomics.senescence.info); exact match: Addax nasomaculatus			206.4	González-Suárez et al. 2021 [Isler_&_vanSchaik_2009_Bio_Lett]		
Aepyceros_melampus	impala	52591.69	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Aepyceros melampus	25.6	AnAge build 14 (genomics.senescence.info); exact match: Aepyceros melampus	198.0	AnAge build 14 (genomics.senescence.info); exact match: Aepyceros melampus	1.0	AnAge build 14 (genomics.senescence.info); exact match: Aepyceros melampus	456.0	AnAge build 14 (genomics.senescence.info); exact match: Aepyceros melampus			175.0	González-Suárez et al. 2021 [Isler_&_vanSchaik_2009_Bio_Lett; Lemaitre_et_al_2009_J_Evol_Biol; Stankowich_&_Romero_2017_ProcB]		
Ailuropoda_melanoleuca	giant panda	117999.99	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Ailuropoda melanoleuca	36.8	AnAge build 14 (genomics.senescence.info); exact match: Ailuropoda melanoleuca	48.0	AnAge build 14 (genomics.senescence.info); exact match: Ailuropoda melanoleuca	1.5	AnAge build 14 (genomics.senescence.info); exact match: Ailuropoda melanoleuca	2192.0	AnAge build 14 (genomics.senescence.info); exact match: Ailuropoda melanoleuca			239.3318	González-Suárez et al. 2021 [Isler_&_vanSchaik_2009_Bio_Lett; Tsubio_et_al_2018_NEE]		
Ailurus_fulgens	lesser panda	5740.0	AnAge build 14 (genomics.senescence.info); exact match: Ailurus fulgens	19.0	AnAge build 14 (genomics.senescence.info); exact match: Ailurus fulgens	116.0	AnAge build 14 (genomics.senescence.info); exact match: Ailurus fulgens	2.0	AnAge build 14 (genomics.senescence.info); exact match: Ailurus fulgens	550.0	AnAge build 14 (genomics.senescence.info); exact match: Ailurus fulgens	4.898	AnAge build 14 (genomics.senescence.info); exact match: Ailurus fulgens	42.3206	González-Suárez et al. 2021 [Boddy_et_al_2012_J_Evol_Biol; Isler_&_vanSchaik_2009_Bio_Lett; Tsubio_et_al_2018_NEE]		
Alces_alces	Eurasian elk	325000.0	AnAge build 14 (genomics.senescence.info); exact match: Alces alces			243.0	AnAge build 14 (genomics.senescence.info); exact match: Alces alces	1.3	AnAge build 14 (genomics.senescence.info); exact match: Alces alces	751.0	AnAge build 14 (genomics.senescence.info); exact match: Alces alces	286.847	AnAge build 14 (genomics.senescence.info); exact match: Alces alces	423.146	González-Suárez et al. 2021 [Boddy_et_al_2012_J_Evol_Biol; Isler_&_vanSchaik_2009_Bio_Lett; Lemaitre_et_al_2009_J_Evol_Biol; Tsubio_et_al_2018_NEE]		
Alexandromys_fortis	Reed vole																
Alexandromys_oeconomus	Root vole																
Allactaga_bullata	Gobi jerboa			4.85	AnAge build 14; genus Allactaga (n=4) median used (no species-level data)			4.25	AnAge build 14; genus Allactaga (n=4) median used (no species-level data)	260.0	AnAge build 14; genus Allactaga (n=4) median used (no species-level data)			3.5	González-Suárez et al. 2021 (genus Allactaga median)		
Allenopithecus_nigroviridis	Allens swamp monkey	4749.96	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Allenopithecus nigroviridis	27.0	AnAge build 14 (genomics.senescence.info); exact match: Allenopithecus nigroviridis			1.0	AnAge build 14 (genomics.senescence.info); exact match: Allenopithecus nigroviridis								
Alouatta_caraya	Black howler monkey	5576.96	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Alouatta caraya	32.4	AnAge build 14 (genomics.senescence.info); exact match: Alouatta caraya	187.0	AnAge build 14 (genomics.senescence.info); exact match: Alouatta caraya	1.0	AnAge build 14 (genomics.senescence.info); exact match: Alouatta caraya	1167.0	AnAge build 14 (genomics.senescence.info); exact match: Alouatta caraya			54.0937	González-Suárez et al. 2021 [Boddy_et_al_2012_J_Evol_Biol; DeCasien_et_al_2017_Nat_Ecol_Evol; Isler_&_vanSchaik_2009_Bio_Lett; Tsubio_et_al_2018_NEE]		
Alouatta_palliata	mantled howler monkey	4670.0	AnAge build 14 (genomics.senescence.info); exact match: Alouatta palliata	24.0	AnAge build 14 (genomics.senescence.info); exact match: Alouatta palliata	186.0	AnAge build 14 (genomics.senescence.info); exact match: Alouatta palliata	1.0	AnAge build 14 (genomics.senescence.info); exact match: Alouatta palliata	1095.0	AnAge build 14 (genomics.senescence.info); exact match: Alouatta palliata	11.464	AnAge build 14 (genomics.senescence.info); exact match: Alouatta palliata	52.7795	González-Suárez et al. 2021 [Barton_&_Capellini_2011_PNAS; Boddy_et_al_2012_J_Evol_Biol; DeCasien_et_al_2017_Nat_Ecol_Evol; Isler_&_vanSchaik_2009_Bio_Lett; Lemaitre_et_al_2009_J_Evol_Biol; Stankowich_&_Romero_2017_ProcB; Tsubio_et_al_2018_NEE]		
Ammotragus_lervia	aoudad	94202.22	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Ammotragus lervia	21.7	AnAge build 14 (genomics.senescence.info); exact match: Ammotragus lervia	149.0	AnAge build 14 (genomics.senescence.info); exact match: Ammotragus lervia	1.2	AnAge build 14 (genomics.senescence.info); exact match: Ammotragus lervia	335.0	AnAge build 14 (genomics.senescence.info); exact match: Ammotragus lervia			209.894	González-Suárez et al. 2021 [Barton_&_Capellini_2011_PNAS; Isler_&_vanSchaik_2009_Bio_Lett; Tsubio_et_al_2018_NEE]		
Anoura_caudifer	tailed tailless bat	10.81	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14; genus Anoura (n=1) median used (no species-level data)	10.0	AnAge build 14; genus Anoura (n=1) median used (no species-level data)	120.0	AnAge build 14; genus Anoura (n=1) median used (no species-level data)	1.0	AnAge build 14; genus Anoura (n=1) median used (no species-level data)			0.1958	PanTHERIA v1.0 (Jones et al. 2009); converted from mLO2/hr using 20.1 J/mLO2 (validated vs AnAge: mean ratio 1.007±0.085)	0.4175	González-Suárez et al. 2021 [Pitnick_et_al_2006_ProcB; Stankowich_&_Romero_2017_ProcB]		
Antidorcas_marsupialis	springbok	33571.24	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Antidorcas marsupialis	19.8	AnAge build 14 (genomics.senescence.info); exact match: Antidorcas marsupialis	168.0	AnAge build 14 (genomics.senescence.info); exact match: Antidorcas marsupialis	1.0	AnAge build 14 (genomics.senescence.info); exact match: Antidorcas marsupialis	213.0	AnAge build 14 (genomics.senescence.info); exact match: Antidorcas marsupialis			135.3	González-Suárez et al. 2021 [Isler_&_vanSchaik_2009_Bio_Lett]		
Antilocapra_americana	pronghorn	34779.3	AnAge build 14 (genomics.senescence.info); exact match: Antilocapra americana	17.0	AnAge build 14 (genomics.senescence.info); exact match: Antilocapra americana	235.0	AnAge build 14 (genomics.senescence.info); exact match: Antilocapra americana	2.0	AnAge build 14 (genomics.senescence.info); exact match: Antilocapra americana	547.0	AnAge build 14 (genomics.senescence.info); exact match: Antilocapra americana	50.973	AnAge build 14 (genomics.senescence.info); exact match: Antilocapra americana	130.2	González-Suárez et al. 2021 [Isler_&_vanSchaik_2009_Bio_Lett; Lemaitre_et_al_2009_J_Evol_Biol; Tsubio_et_al_2018_NEE]		
Antrozous_pallidus	pallid bat	22.0	AnAge build 14 (genomics.senescence.info); exact match: Antrozous pallidus	14.8	AnAge build 14 (genomics.senescence.info); exact match: Antrozous pallidus	62.0	AnAge build 14 (genomics.senescence.info); exact match: Antrozous pallidus	2.0	AnAge build 14 (genomics.senescence.info); exact match: Antrozous pallidus	365.0	AnAge build 14 (genomics.senescence.info); exact match: Antrozous pallidus	0.104	AnAge build 14 (genomics.senescence.info); exact match: Antrozous pallidus				
Aonyx_cinereus	Asian small-clawed otter			23.0	AnAge build 14 (genomics.senescence.info); exact match: Aonyx cinereus	63.0	AnAge build 14 (genomics.senescence.info); exact match: Aonyx cinereus	1.42	AnAge build 14 (genomics.senescence.info); exact match: Aonyx cinereus	730.0	AnAge build 14 (genomics.senescence.info); exact match: Aonyx cinereus			94.63	González-Suárez et al. 2021 (genus Aonyx median)		
Aotus_nancymaae	Mas night monkey	914.5	AnAge build 14; genus Aotus (n=4) median used (no species-level data)	30.05	AnAge build 14; genus Aotus (n=4) median used (no species-level data)	138.5	AnAge build 14; genus Aotus (n=4) median used (no species-level data)	1.0	AnAge build 14; genus Aotus (n=4) median used (no species-level data)	788.0	AnAge build 14; genus Aotus (n=4) median used (no species-level data)	2.499	AnAge build 14; genus Aotus (n=4) median used (no species-level data)	17.1936	González-Suárez et al. 2021 (genus Aotus median)	17.0	Savage & West 2007 PNAS 104:1051-1056 (msleep)
Aplodontia_rufa	mountain beaver	706.8	AnAge build 14 (genomics.senescence.info); exact match: Aplodontia rufa			29.0	AnAge build 14 (genomics.senescence.info); exact match: Aplodontia rufa	2.75	AnAge build 14 (genomics.senescence.info); exact match: Aplodontia rufa	730.0	AnAge build 14 (genomics.senescence.info); exact match: Aplodontia rufa	1.892	AnAge build 14 (genomics.senescence.info); exact match: Aplodontia rufa	6.45	González-Suárez et al. 2021 [Mace_et_al_1981_JZool; Tsubio_et_al_2018_NEE]	14.4	Savage & West 2007 PNAS (msleep, genus Aplodontia)
Apodemus_agrarius	Eurasian field mouse	21.2	AnAge build 14 (genomics.senescence.info); exact match: Apodemus agrarius			22.0	AnAge build 14 (genomics.senescence.info); exact match: Apodemus agrarius	5.7	AnAge build 14 (genomics.senescence.info); exact match: Apodemus agrarius	76.0	AnAge build 14 (genomics.senescence.info); exact match: Apodemus agrarius	0.373	AnAge build 14 (genomics.senescence.info); exact match: Apodemus agrarius	0.2	González-Suárez et al. 2021 [Boddy_et_al_2012_J_Evol_Biol; Stankowich_&_Romero_2017_ProcB]		
Apodemus_speciosus	Large Japanese field mouse	43.75	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Apodemus speciosus	5.3	AnAge build 14 (genomics.senescence.info); exact match: Apodemus speciosus			4.5	AnAge build 14 (genomics.senescence.info); exact match: Apodemus speciosus					0.585	González-Suárez et al. 2021 (genus Apodemus median)		
Apodemus_sylvaticus	European woodmouse	23.8	AnAge build 14 (genomics.senescence.info); exact match: Apodemus sylvaticus	6.3	AnAge build 14 (genomics.senescence.info); exact match: Apodemus sylvaticus	23.0	AnAge build 14 (genomics.senescence.info); exact match: Apodemus sylvaticus	5.2	AnAge build 14 (genomics.senescence.info); exact match: Apodemus sylvaticus	71.0	AnAge build 14 (genomics.senescence.info); exact match: Apodemus sylvaticus	0.264	AnAge build 14 (genomics.senescence.info); exact match: Apodemus sylvaticus	0.59	González-Suárez et al. 2021 [Isler_&_vanSchaik_2009_Bio_Lett; Mace_et_al_1981_JZool; Tsubio_et_al_2018_NEE]		
Arctocephalus_australis	South American fur seal	67979.43	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Arctocephalus australis	30.6	AnAge build 14 (genomics.senescence.info); exact match: Arctocephalus australis	236.0	AnAge build 14 (genomics.senescence.info); exact match: Arctocephalus australis	1.0	AnAge build 14 (genomics.senescence.info); exact match: Arctocephalus australis	1095.0	AnAge build 14 (genomics.senescence.info); exact match: Arctocephalus australis			312.27	González-Suárez et al. 2021 [Boddy_et_al_2012_J_Evol_Biol; Isler_&_vanSchaik_2009_Bio_Lett; Tsubio_et_al_2018_NEE]		
Arctocephalus_gazella	antarctic fur seal	96599.99	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Arctocephalus gazella			257.0	AnAge build 14 (genomics.senescence.info); exact match: Arctocephalus gazella	1.0	AnAge build 14 (genomics.senescence.info); exact match: Arctocephalus gazella	1278.0	AnAge build 14 (genomics.senescence.info); exact match: Arctocephalus gazella			345.76	González-Suárez et al. 2021 [Boddy_et_al_2012_J_Evol_Biol; Tsubio_et_al_2018_NEE]		
Arctocephalus_townsendi	Guadalupe fur seal	101063.71	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14; genus Arctocephalus (n=6) median used (no species-level data)	31.35	AnAge build 14; genus Arctocephalus (n=6) median used (no species-level data)	246.5	AnAge build 14; genus Arctocephalus (n=6) median used (no species-level data)	1.0	AnAge build 14; genus Arctocephalus (n=6) median used (no species-level data)	1369.5	AnAge build 14; genus Arctocephalus (n=6) median used (no species-level data)			340.0	González-Suárez et al. 2021 (genus Arctocephalus median)		
Artibeus_jamaicensis	Jamaican fruit-eating bat	46.1	AnAge build 14 (genomics.senescence.info); exact match: Artibeus jamaicensis	19.2	AnAge build 14 (genomics.senescence.info); exact match: Artibeus jamaicensis	76.0	AnAge build 14 (genomics.senescence.info); exact match: Artibeus jamaicensis	1.0	AnAge build 14 (genomics.senescence.info); exact match: Artibeus jamaicensis	289.0	AnAge build 14 (genomics.senescence.info); exact match: Artibeus jamaicensis	0.359	AnAge build 14 (genomics.senescence.info); exact match: Artibeus jamaicensis	0.973	González-Suárez et al. 2021 [Boddy_et_al_2012_J_Evol_Biol; Isler_&_vanSchaik_2009_Bio_Lett; Pitnick_et_al_2006_ProcB; Stankowich_&_Romero_2017_ProcB]		
Artibeus_lituratus	Great fruit-eating bat	70.1	AnAge build 14 (genomics.senescence.info); exact match: Artibeus lituratus			106.0	AnAge build 14 (genomics.senescence.info); exact match: Artibeus lituratus	1.0	AnAge build 14 (genomics.senescence.info); exact match: Artibeus lituratus	288.0	AnAge build 14 (genomics.senescence.info); exact match: Artibeus lituratus	0.602	AnAge build 14 (genomics.senescence.info); exact match: Artibeus lituratus	1.05	González-Suárez et al. 2021 [Pitnick_et_al_2006_ProcB; Stankowich_&_Romero_2017_ProcB; Tsubio_et_al_2018_NEE]		
Arvicanthis_niloticus	African grass rat	95.8	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Arvicanthis niloticus	6.7	AnAge build 14 (genomics.senescence.info); exact match: Arvicanthis niloticus	22.0	AnAge build 14 (genomics.senescence.info); exact match: Arvicanthis niloticus	5.0	AnAge build 14 (genomics.senescence.info); exact match: Arvicanthis niloticus	45.0	AnAge build 14 (genomics.senescence.info); exact match: Arvicanthis niloticus			1.33	González-Suárez et al. 2021 [Mace_et_al_1981_JZool]		
Arvicola_amphibius	Eurasian water mole	94.7	AnAge build 14 (genomics.senescence.info); exact match: Arvicola amphibius	2.5	AnAge build 14 (genomics.senescence.info); exact match: Arvicola amphibius	21.0	AnAge build 14 (genomics.senescence.info); exact match: Arvicola amphibius	5.1	AnAge build 14 (genomics.senescence.info); exact match: Arvicola amphibius	51.0	AnAge build 14 (genomics.senescence.info); exact match: Arvicola amphibius	0.613	AnAge build 14 (genomics.senescence.info); exact match: Arvicola amphibius	1.64	González-Suárez et al. 2021 [Mace_et_al_1981_JZool]		
Aselliscus_stoliczkanus	Stoliczkas trident bat	6.09	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); No AnAge data											0.15	González-Suárez et al. 2021 [Pitnick_et_al_2006_ProcB]		
Ateles_belzebuth	White-bellied spider monkey	6692.42	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Ateles belzebuth	37.0	AnAge build 14 (genomics.senescence.info); exact match: Ateles belzebuth	184.0	AnAge build 14 (genomics.senescence.info); exact match: Ateles belzebuth	1.0	AnAge build 14 (genomics.senescence.info); exact match: Ateles belzebuth	1461.0	AnAge build 14 (genomics.senescence.info); exact match: Ateles belzebuth			120.3521	González-Suárez et al. 2021 [DeCasien_et_al_2017_Nat_Ecol_Evol; Tsubio_et_al_2018_NEE]		
Ateles_chamek	Black spider monkey	7053.92	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Ateles chamek	42.8	AnAge build 14 (genomics.senescence.info); exact match: Ateles chamek	204.0	AnAge build 14 (genomics.senescence.info); exact match: Ateles chamek			1591.0	AnAge build 14 (genomics.senescence.info); exact match: Ateles chamek			108.2706	González-Suárez et al. 2021 (genus Ateles median)		
Ateles_fusciceps	Brown-headed spider monkey	9067.94	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Ateles fusciceps	46.0	AnAge build 14 (genomics.senescence.info); exact match: Ateles fusciceps	227.0	AnAge build 14 (genomics.senescence.info); exact match: Ateles fusciceps	1.0	AnAge build 14 (genomics.senescence.info); exact match: Ateles fusciceps	1515.0	AnAge build 14 (genomics.senescence.info); exact match: Ateles fusciceps			114.2	González-Suárez et al. 2021 [Boddy_et_al_2012_J_Evol_Biol; DeCasien_et_al_2017_Nat_Ecol_Evol; Isler_&_vanSchaik_2009_Bio_Lett; Stankowich_&_Romero_2017_ProcB; Tsubio_et_al_2018_NEE]		
Ateles_geoffroyi	black-handed spider monkey	7582.4	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Ateles geoffroyi	47.1	AnAge build 14 (genomics.senescence.info); exact match: Ateles geoffroyi	232.0	AnAge build 14 (genomics.senescence.info); exact match: Ateles geoffroyi	1.0	AnAge build 14 (genomics.senescence.info); exact match: Ateles geoffroyi	1825.0	AnAge build 14 (genomics.senescence.info); exact match: Ateles geoffroyi			106.854	González-Suárez et al. 2021 [Barton_&_Capellini_2011_PNAS; Boddy_et_al_2012_J_Evol_Biol; DeCasien_et_al_2017_Nat_Ecol_Evol; Isler_&_vanSchaik_2009_Bio_Lett; Lemaitre_et_al_2009_J_Evol_Biol; Tsubio_et_al_2018_NEE]		
Ateles_hybridus	brown spider monkey			45.0	AnAge build 14; genus Ateles (n=6) median used (no species-level data)	215.5	AnAge build 14; genus Ateles (n=6) median used (no species-level data)	1.0	AnAge build 14; genus Ateles (n=6) median used (no species-level data)	1515.5	AnAge build 14; genus Ateles (n=6) median used (no species-level data)			106.8893	González-Suárez et al. 2021 [Isler_&_vanSchaik_2009_Bio_Lett; Tsubio_et_al_2018_NEE]		
Ateles_marginatus	White-cheeked spider monkey	6229.28	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Ateles marginatus	44.0	AnAge build 14 (genomics.senescence.info); exact match: Ateles marginatus	141.0	AnAge build 14 (genomics.senescence.info); exact match: Ateles marginatus			1461.0	AnAge build 14 (genomics.senescence.info); exact match: Ateles marginatus			108.2706	González-Suárez et al. 2021 (genus Ateles median)		
Ateles_paniscus	Red-faced black spider monkey	8697.25	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Ateles paniscus	46.0	AnAge build 14 (genomics.senescence.info); exact match: Ateles paniscus	229.0	AnAge build 14 (genomics.senescence.info); exact match: Ateles paniscus	1.0	AnAge build 14 (genomics.senescence.info); exact match: Ateles paniscus	1516.0	AnAge build 14 (genomics.senescence.info); exact match: Ateles paniscus			106.5	González-Suárez et al. 2021 [Boddy_et_al_2012_J_Evol_Biol; DeCasien_et_al_2017_Nat_Ecol_Evol; Isler_&_vanSchaik_2009_Bio_Lett; Tsubio_et_al_2018_NEE]		
Axis_porcinus	Hog deer	37448.29	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Axis porcinus	22.9	AnAge build 14 (genomics.senescence.info); exact match: Axis porcinus	232.0	AnAge build 14 (genomics.senescence.info); exact match: Axis porcinus	1.0	AnAge build 14 (genomics.senescence.info); exact match: Axis porcinus	304.0	AnAge build 14 (genomics.senescence.info); exact match: Axis porcinus			119.433	González-Suárez et al. 2021 [Isler_&_vanSchaik_2009_Bio_Lett; Tsubio_et_al_2018_NEE]		
Babyrousa_celebensis	North Sulawesi babirusa			22.9	AnAge build 14; genus Babyrousa (n=1) median used (no species-level data)	153.0	AnAge build 14; genus Babyrousa (n=1) median used (no species-level data)	1.3	AnAge build 14; genus Babyrousa (n=1) median used (no species-level data)	548.0	AnAge build 14; genus Babyrousa (n=1) median used (no species-level data)			132.7	González-Suárez et al. 2021 (genus Babyrousa median)		
Balaena_mysticetus	bowhead whale	79691178.99	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Balaena mysticetus	211.0	AnAge build 14 (genomics.senescence.info); exact match: Balaena mysticetus	396.0	AnAge build 14 (genomics.senescence.info); exact match: Balaena mysticetus	1.0	AnAge build 14 (genomics.senescence.info); exact match: Balaena mysticetus	8212.0	AnAge build 14 (genomics.senescence.info); exact match: Balaena mysticetus						
Balaenoptera_acutorostrata	minke whale	5587093.59	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Balaenoptera acutorostrata	50.0	AnAge build 14 (genomics.senescence.info); exact match: Balaenoptera acutorostrata	312.0	AnAge build 14 (genomics.senescence.info); exact match: Balaenoptera acutorostrata	1.0	AnAge build 14 (genomics.senescence.info); exact match: Balaenoptera acutorostrata	2740.0	AnAge build 14 (genomics.senescence.info); exact match: Balaenoptera acutorostrata			6800.0	González-Suárez et al. 2021 (genus Balaenoptera median)		
Balaenoptera_bonaerensis	Antarctic minke whale			74.0	AnAge build 14; genus Balaenoptera (n=5) median used (no species-level data)	345.0	AnAge build 14; genus Balaenoptera (n=5) median used (no species-level data)	1.0	AnAge build 14; genus Balaenoptera (n=5) median used (no species-level data)	2740.0	AnAge build 14; genus Balaenoptera (n=5) median used (no species-level data)			6800.0	González-Suárez et al. 2021 (genus Balaenoptera median)		
Balaenoptera_borealis	Sei whale	22106251.95	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Balaenoptera borealis	74.0	AnAge build 14 (genomics.senescence.info); exact match: Balaenoptera borealis	345.0	AnAge build 14 (genomics.senescence.info); exact match: Balaenoptera borealis	1.0	AnAge build 14 (genomics.senescence.info); exact match: Balaenoptera borealis	3652.0	AnAge build 14 (genomics.senescence.info); exact match: Balaenoptera borealis			6800.0	González-Suárez et al. 2021 (genus Balaenoptera median)		
Balaenoptera_edeni	pygmy Brydes whale	19999999.97	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Balaenoptera edeni	72.0	AnAge build 14 (genomics.senescence.info); exact match: Balaenoptera edeni	376.0	AnAge build 14 (genomics.senescence.info); exact match: Balaenoptera edeni	1.0	AnAge build 14 (genomics.senescence.info); exact match: Balaenoptera edeni	3104.0	AnAge build 14 (genomics.senescence.info); exact match: Balaenoptera edeni			6800.0	González-Suárez et al. 2021 (genus Balaenoptera median)		
Balaenoptera_musculus	Blue whale	154321304.5	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Balaenoptera musculus	110.0	AnAge build 14 (genomics.senescence.info); exact match: Balaenoptera musculus	350.0	AnAge build 14 (genomics.senescence.info); exact match: Balaenoptera musculus	1.0	AnAge build 14 (genomics.senescence.info); exact match: Balaenoptera musculus	1827.0	AnAge build 14 (genomics.senescence.info); exact match: Balaenoptera musculus			5218.0	González-Suárez et al. 2021 [Isler_&_vanSchaik_2009_Bio_Lett; Tsubio_et_al_2018_NEE]		
