species	common_name	body_mass_g	body_mass_notes	max_lifespan_yr	max_lifespan_notes	gestation_days	gestation_notes	litter_size	litter_size_notes	age_maturity_days	age_maturity_notes	metabolic_rate_W	metabolic_rate_notes	brain_mass_g	brain_mass_notes	sleep_hr_day	sleep_notes
Rupicapra_rupicapra	Chamois	33266.35	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Rupicapra rupicapra	17.6	AnAge build 14 (genomics.senescence.info); exact match: Rupicapra rupicapra	122.0	AnAge build 14 (genomics.senescence.info); exact match: Rupicapra rupicapra	1.0	AnAge build 14 (genomics.senescence.info); exact match: Rupicapra rupicapra	674.0	AnAge build 14 (genomics.senescence.info); exact match: Rupicapra rupicapra			125.8	González-Suárez et al. 2021 [Barton_&_Capellini_2011_PNAS; Isler_&_vanSchaik_2009_Bio_Lett; Tsubio_et_al_2018_NEE]		
Rusa_alfredi	Visayan spotted deer	46475.04	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Rusa alfredi	18.5	AnAge build 14 (genomics.senescence.info); exact match: Rusa alfredi	243.0	AnAge build 14 (genomics.senescence.info); exact match: Rusa alfredi			595.0	AnAge build 14 (genomics.senescence.info); exact match: Rusa alfredi			276.0422	González-Suárez et al. 2021 (genus Rusa median)		
Saccopteryx_bilineata	greater sac-winged bat	7.8	AnAge build 14 (genomics.senescence.info); exact match: Saccopteryx bilineata	6.0	AnAge build 14 (genomics.senescence.info); exact match: Saccopteryx bilineata			1.0	AnAge build 14 (genomics.senescence.info); exact match: Saccopteryx bilineata	365.0	AnAge build 14 (genomics.senescence.info); exact match: Saccopteryx bilineata	0.081	AnAge build 14 (genomics.senescence.info); exact match: Saccopteryx bilineata	0.22	González-Suárez et al. 2021 [Isler_&_vanSchaik_2009_Bio_Lett; Pitnick_et_al_2006_ProcB; Tsubio_et_al_2018_NEE]		
Saccopteryx_leptura	lesser sac-winged bat	7.8	AnAge build 14; genus Saccopteryx (n=1) median used (no species-level data)	6.0	AnAge build 14; genus Saccopteryx (n=1) median used (no species-level data)			1.0	AnAge build 14; genus Saccopteryx (n=1) median used (no species-level data)	365.0	AnAge build 14; genus Saccopteryx (n=1) median used (no species-level data)	0.081	AnAge build 14; genus Saccopteryx (n=1) median used (no species-level data)	0.161	González-Suárez et al. 2021 [Pitnick_et_al_2006_ProcB]		
Saguinus_imperator	tamarin	407.91	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Saguinus imperator	23.7	AnAge build 14 (genomics.senescence.info); exact match: Saguinus imperator	145.0	AnAge build 14 (genomics.senescence.info); exact match: Saguinus imperator	2.0	AnAge build 14 (genomics.senescence.info); exact match: Saguinus imperator	546.0	AnAge build 14 (genomics.senescence.info); exact match: Saguinus imperator			10.0	González-Suárez et al. 2021 (genus Saguinus median)		
Saguinus_midas	Midas tamarin	540.56	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Saguinus midas	21.0	AnAge build 14 (genomics.senescence.info); exact match: Saguinus midas	127.0	AnAge build 14 (genomics.senescence.info); exact match: Saguinus midas	2.0	AnAge build 14 (genomics.senescence.info); exact match: Saguinus midas	608.0	AnAge build 14 (genomics.senescence.info); exact match: Saguinus midas			9.96	González-Suárez et al. 2021 [DeCasien_et_al_2017_Nat_Ecol_Evol; Isler_&_vanSchaik_2009_Bio_Lett; Lemaitre_et_al_2009_J_Evol_Biol; Tsubio_et_al_2018_NEE]		
Saguinus_oedipus	Cotton-top tamarin	462.04	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Saguinus oedipus	26.2	AnAge build 14 (genomics.senescence.info); exact match: Saguinus oedipus	178.0	AnAge build 14 (genomics.senescence.info); exact match: Saguinus oedipus	1.9	AnAge build 14 (genomics.senescence.info); exact match: Saguinus oedipus	548.0	AnAge build 14 (genomics.senescence.info); exact match: Saguinus oedipus			9.987	González-Suárez et al. 2021 [Boddy_et_al_2012_J_Evol_Biol; DeCasien_et_al_2017_Nat_Ecol_Evol; Isler_&_vanSchaik_2009_Bio_Lett; Lemaitre_et_al_2009_J_Evol_Biol; Tsubio_et_al_2018_NEE]		
Saiga_tatarica	saiga antelope	37734.01	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Saiga tatarica			152.0	AnAge build 14 (genomics.senescence.info); exact match: Saiga tatarica	1.7	AnAge build 14 (genomics.senescence.info); exact match: Saiga tatarica	331.0	AnAge build 14 (genomics.senescence.info); exact match: Saiga tatarica			119.0	González-Suárez et al. 2021 [Isler_&_vanSchaik_2009_Bio_Lett]		
Saimiri_boliviensis	Bolivian squirrel monkey	799.45	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Saimiri boliviensis	30.3	AnAge build 14 (genomics.senescence.info); exact match: Saimiri boliviensis	158.0	AnAge build 14 (genomics.senescence.info); exact match: Saimiri boliviensis	1.0	AnAge build 14 (genomics.senescence.info); exact match: Saimiri boliviensis	1091.0	AnAge build 14 (genomics.senescence.info); exact match: Saimiri boliviensis			25.9495	González-Suárez et al. 2021 [Boddy_et_al_2012_J_Evol_Biol; DeCasien_et_al_2017_Nat_Ecol_Evol; Tsubio_et_al_2018_NEE]	9.6	Savage & West 2007 PNAS (msleep, genus Saimiri)
Saimiri_boliviensis_boliviensis	Bolivian squirrel monkey	799.45	PanTHERIA v1.0 (Jones et al. 2009 Ecology 90:2648); AnAge build 14 (genomics.senescence.info); exact match: Saimiri boliviensis	30.3	AnAge build 14 (genomics.senescence.info); exact match: Saimiri boliviensis	158.0	AnAge build 14 (genomics.senescence.info); exact match: Saimiri boliviensis	1.0	AnAge build 14 (genomics.senescence.info); exact match: Saimiri boliviensis	1091.0	AnAge build 14 (genomics.senescence.info); exact match: Saimiri boliviensis			25.9495	González-Suárez et al. 2021 [Boddy_et_al_2012_J_Evol_Biol; DeCasien_et_al_2017_Nat_Ecol_Evol; Tsubio_et_al_2018_NEE]	9.6	Savage & West 2007 PNAS (msleep, genus Saimiri)
